Fire Staff	Emberwrath Staff	Ranged 2h	Wrath of endless burning grudges	T1-T8	65 +15	60 +12	100 +40	6 +1	0 +0	10 +3	Fire Bolt (single-target	 builds Burn stack max 3)	Flame Wave (cone AoE DoT)	Fireball (AoE burst)	Inferno Shield (reflect dmg)	Hellstorm (large AoE DoT)	Crimson Pyre (lifesteal burn AoE)	Shadow Flame (silence + burn)	Meteor Strike (delayed massive burst)	Flame Nova (explode all burns)	Burn Mastery (+DoT dmg)	Mana Regen (+regen)
Fire Staff	Infernal Grudge Staff	Ranged 2h	Infused with infernal clan hatred	T1-T8	67 +16	55 +11	105 +42	7 +1.1	0 +0	9 +2.5	Fire Bolt	Flame Wave	Fireball	Inferno Shield	Inferno Surge (channeled line DoT)	Hellfire Wall (wall burn)	Grudge Ignite (spread burn)	Blazing Pillar (pillar burst)	Infernal Cataclysm (ultimate storm)	Burn Mastery	Mana Efficiency (+less cost)	Crit Chance
Fire Staff	Flameblood Spire	Ranged 2h	Spire forged from flameblood rituals	T1-T8	64 +14	65 +13	98 +39	5 +0.9	1 +0.2	11 +3.5	Fire Bolt	Flame Wave	Fireball	Inferno Shield	Bloodflame (lifesteal DoT)	Pyre Ritual (HoT + burn)	Flameblood Nova (AoE lifesteal)	Scorching Grasp (root burn)	Flameblood Eruption (explode + heal)	Life Leech (on burn)	Mana Regen	Burn Amp
Fire Staff	Hellfire Oathbreaker	Ranged 2h	Oathbreaker staff of hellfire	T1-T8	66 +15	58 +11.5	102 +41	6.5 +1.05	0 +0	10.5 +3	Fire Bolt	Flame Wave	Fireball	Inferno Shield	Oathbreaker Blaze (purge + burn)	Hellfire Chains (bind burn)	Broken Oath Nova (AoE purge DoT)	Infernal Oath (debuff amp)	Hellfire Apocalypse (large purge AoE)	Burn Mastery (+purge)	Cooldown Reduce	Mana Regen
Fire Staff	Crimson Inferno Tome	Offhand 1h	Tome of crimson inferno grudges	T1-T8	63 +14	62 +12.5	110 +44	8 +1.2	0 +0	8 +2.5	Fire Bolt (quick cast)	Flame Wave	Fireball	Inferno Shield	Crimson Surge (dash burn)	Inferno Page (summon fire minion)	Tome Ignite (multi target burn)	Crimson Ritual (channel heal burn)	Crimson Armageddon (book ultimate AoE)	Spell Crit	Burn Mastery	Mana Efficiency
Fire Staff	Blazewrath Grimoire	Offhand 1h	Grimoire holding blazewrath spells	T1-T8	68 +16	50 +10	115 +46	9 +1.3	0 +0	7 +2	Fire Bolt	Flame Wave	Fireball	Inferno Shield	Blaze Fury (frenzy cast speed)	Wrath Page (empowered next spell)	Grimoire Storm (rain pages DoT)	Blazewrath Bind (root + burn)	Eternal Blaze (perma DoT field)	Mana Regen	Crit Chance	Burn Duration
Frost Staff	Glacial Spire Staff	Ranged 2h	Spire of glacial eternal grudges	T1-T8	60 +14	70 +15	90 +35	5 +0.8	2 +0.5	12 +4	Frost Bolt (single-target	 builds Chill stack max 3)	Ice Nova (AoE slow)	Frost Lance (single burst)	Glacial Shield (absorb dmg)	Blizzard Strike (channeled AoE slow dmg)	Crimson Ice (bleed + freeze)	Shadow Freeze (root AoE)	Ice Shard (piercing burst)	Absolute Zero (mass freeze)	Chill Mastery (+slow effect)	Mana Regen
Frost Staff	Frostgrudge Staff	Ranged 2h	Infused with frost clan vengeance	T1-T8	62 +15	65 +13.5	95 +37	6 +0.9	1.5 +0.4	11 +3.5	Frost Bolt	Ice Nova	Frost Lance	Glacial Shield	Frost Surge (channeled line freeze)	Glacial Wall (wall slow)	Grudge Chill (spread chill)	Freezing Pillar (pillar burst)	Frost Cataclysm (ultimate storm)	Chill Mastery	Mana Efficiency	Crit Chance
Frost Staff	Iceblood Spire	Ranged 2h	Spire from iceblood rituals	T1-T8	59 +13.5	75 +16.5	88 +34	4.5 +0.7	3 +0.6	13 +4.5	Frost Bolt	Ice Nova	Frost Lance	Glacial Shield	Iceblood (lifesteal freeze)	Frost Ritual (HoT + chill)	Iceblood Nova (AoE lifesteal)	Glacial Grasp (root chill)	Iceblood Eruption (explode + heal)	Life Leech (on chill)	Mana Regen	Chill Amp
Frost Staff	Frigid Oathbreaker	Ranged 2h	Oathbreaker staff of frigid ice	T1-T8	61 +14.5	68 +14.5	92 +36	5.5 +0.85	1 +0.3	12.5 +4	Frost Bolt	Ice Nova	Frost Lance	Glacial Shield	Oathbreaker Freeze (purge + chill)	Frigid Chains (bind chill)	Broken Oath Nova (AoE purge slow)	Frigid Oath (debuff amp)	Frigid Apocalypse (large purge AoE)	Chill Mastery (+purge)	Cooldown Reduce	Mana Regen
Frost Staff	Crimson Glacier Tome	Offhand 1h	Tome of crimson glacier grudges	T1-T8	58 +13	72 +15.5	100 +40	7 +1	0.5 +0.2	10 +3	Frost Bolt (quick cast)	Ice Nova	Frost Lance	Glacial Shield	Crimson Surge (dash chill)	Glacier Page (summon ice minion)	Tome Chill (multi target chill)	Crimson Ritual (channel heal chill)	Crimson Winter (book ultimate AoE)	Spell Crit	Chill Mastery	Mana Efficiency
Frost Staff	Icewrath Grimoire	Offhand 1h	Grimoire holding icewrath spells	T1-T8	63 +15	60 +12.5	105 +42	8 +1.1	0 +0	9 +2.5	Frost Bolt	Ice Nova	Frost Lance	Glacial Shield	Ice Fury (frenzy cast speed)	Wrath Page (empowered next spell)	Grimoire Storm (rain pages slow)	Icewrath Bind (root + chill)	Eternal Ice (perma chill field)	Mana Regen	Crit Chance	Chill Duration
Nature Staff	Verdant Wrath Staff	Ranged 2h	Staff of verdant wrathful growth	T1-T8	55 +13	90 +22	110 +45	3 +0.5	4 +1	14 +4	Rejuvenate (HoT single	 builds Growth max 3)	Thorn Burst (AoE dmg)	Healing Bloom (AoE HoT)	Nature's Shield (absorb)	Grove's Embrace (AoE HoT + root)	Crimson Roots (HoT bleed)	Shadow Grove (HoT silence)	Flame Sprout (HoT dmg)	Nature's Fury (spirit allies)	HoT Mastery (+duration)	Mana Regen
Nature Staff	Thorn grudge Staff	Ranged 2h	Infused with thorny clan grudges	T1-T8	57 +14	85 +21	115 +47	4 +0.6	3.5 +0.8	13 +3.5	Rejuvenate	Thorn Burst	Healing Bloom	Nature's Shield	Thorn Surge (channeled vine DoT)	Verdant Wall (wall thorns)	Grudge Growth (spread growth)	Thorny Pillar (pillar burst)	Verdant Cataclysm (ultimate storm)	HoT Mastery	Mana Efficiency	Crit Chance
Nature Staff	Bloodvine Spire	Ranged 2h	Spire from bloodvine rituals	T1-T8	54 +12.5	95 +24	108 +44	2.5 +0.4	5 +1.1	15 +4.5	Rejuvenate	Thorn Burst	Healing Bloom	Nature's Shield	Bloodvine (lifesteal HoT)	Vine Ritual (HoT + thorns)	Bloodvine Nova (AoE lifesteal)	Verdant Grasp (root HoT)	Bloodvine Eruption (explode + heal)	Life Leech (on growth)	Mana Regen	HoT Amp
Nature Staff	Wild Oathbreaker	Ranged 2h	Oathbreaker staff of wild nature	T1-T8	56 +13.5	88 +22.5	112 +46	3.5 +0.55	4.5 +1	14.5 +4.5	Rejuvenate	Thorn Burst	Healing Bloom	Nature's Shield	Oathbreaker Growth (purge + growth)	Wild Chains (bind thorns)	Broken Oath Nova (AoE purge HoT)	Wild Oath (debuff amp)	Wild Apocalypse (large purge AoE)	HoT Mastery (+purge)	Cooldown Reduce	Mana Regen
Nature Staff	Crimson Verdant Tome	Offhand 1h	Tome of crimson verdant grudges	T1-T8	53 +12	92 +23.5	120 +48	5 +0.7	2 +0.5	12 +3.5	Rejuvenate (quick cast)	Thorn Burst	Healing Bloom	Nature's Shield	Crimson Surge (dash growth)	Verdant Page (summon vine minion)	Tome Growth (multi target growth)	Crimson Ritual (channel heal growth)	Crimson Overgrowth (book ultimate AoE)	Spell Crit	HoT Mastery	Mana Efficiency
Nature Staff	Growthwrath Grimoire	Offhand 1h	Grimoire holding growthwrath spells	T1-T8	58 +14	80 +20	125 +50	6 +0.8	1 +0.3	11 +3	Rejuvenate	Thorn Burst	Healing Bloom	Nature's Shield	Growth Fury (frenzy cast speed)	Wrath Page (empowered next spell)	Grimoire Storm (rain pages HoT)	Growthwrath Bind (root + growth)	Eternal Growth (perma HoT field)	Mana Regen	Crit Chance	HoT Duration
