ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
wheat,Wheat,0,ingredient,grain,Basic grain,🌾,,
barley,Barley,1,ingredient,grain,Brewing grain,🌾,,
corn,Corn,2,ingredient,grain,Yellow grain,🌽,,
rice,Rice,3,ingredient,grain,Fine grain,🍚,,
ancient-grain,Ancient Grain,5,ingredient,grain,Mystical grain,✨,,
apple,Apple,0,ingredient,fruit,Common fruit,🍎,,
berry,Berry,1,ingredient,fruit,Small fruit,🫐,,
grape,Grape,2,ingredient,fruit,Wine fruit,🍇,,
citrus,Citrus,3,ingredient,fruit,Tangy fruit,🍊,,
dragon-fruit,Dragon Fruit,5,ingredient,fruit,Exotic fruit,🐉,,
divine-fruit,Divine Fruit,8,ingredient,fruit,Godly fruit,👑,,
potato,Potato,0,ingredient,vegetable,Root vegetable,🥔,,
carrot,Carrot,1,ingredient,vegetable,Orange root,🥕,,
onion,Onion,1,ingredient,vegetable,Savory bulb,🧅,,
mushroom,Mushroom,2,ingredient,vegetable,Forest fungus,🍄,,
tomato,Tomato,2,ingredient,vegetable,Red fruit-veg,🍅,,
pepper,Pepper,3,ingredient,vegetable,Spicy fruit,🌶️,,
truffle,Truffle,5,ingredient,vegetable,Rare fungus,🟤,,
chicken,Chicken,1,ingredient,meat,Poultry meat,🍗,,
pork,Pork,2,ingredient,meat,Pig meat,🥓,,
beef,Beef,3,ingredient,meat,Cow meat,🥩,,
lamb,Lamb,3,ingredient,meat,Sheep meat,🍖,,
venison,Venison,4,ingredient,meat,Deer meat,🦌,,
boar,Boar,4,ingredient,meat,Wild pig meat,🐗,,
dragon-meat,Dragon Meat,7,ingredient,meat,Wyrm flesh,🐉,,
divine-meat,Divine Meat,8,ingredient,meat,Holy flesh,👑,,
fish,Fish,1,ingredient,seafood,Common fish,🐟,,
salmon,Salmon,2,ingredient,seafood,Pink fish,🐟,,
tuna,Tuna,3,ingredient,seafood,Large fish,🐟,,
lobster,Lobster,4,ingredient,seafood,Luxury crustacean,🦞,,
crab,Crab,3,ingredient,seafood,Shelled seafood,🦀,,
octopus,Octopus,5,ingredient,seafood,Eight-armed creature,🐙,,
kraken-tentacle,Kraken Tentacle,7,ingredient,seafood,Legendary seafood,🦑,,
milk,Milk,0,ingredient,dairy,Fresh milk,🥛,,
cheese,Cheese,2,ingredient,dairy,Aged curds,🧀,,
butter,Butter,2,ingredient,dairy,Creamy fat,🧈,,
cream,Cream,3,ingredient,dairy,Heavy cream,🥛,,
egg,Egg,0,ingredient,protein,Chicken egg,🥚,,
honey,Honey,2,ingredient,sweetener,Bee nectar,🍯,,
sugar,Sugar,1,ingredient,sweetener,Sweet crystals,🍬,,
salt,Salt,0,ingredient,seasoning,Basic mineral,🧂,,
herb-bundle,Herb Bundle,1,ingredient,seasoning,Mixed herbs,🌿,,
spice-blend,Spice Blend,3,ingredient,seasoning,Exotic spices,🌶️,,
bread,Bread,0,food,staple,Basic loaf,🍞,,
soup,Soup,1,food,staple,Basic broth,🍜,,
stew,Stew,2,food,staple,Hearty meal,🍲,,
roast-meat,Roast Meat,2,food,main,Cooked meat,🍖,,
