ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
bronze-gear,Bronze Gear,1,component,mechanism,Basic mechanism,⚙️,,
iron-gear,Iron Gear,2,component,mechanism,Standard gear,🔧,,
steel-gear,Steel Gear,3,component,mechanism,Quality mechanism,🔩,,
precision-gear,Precision Gear,4,component,mechanism,Fine mechanism,⏱️,,
clockwork-core,Clockwork Core,5,component,mechanism,Complex mechanism,🎰,,
arcane-gear,Arcane Gear,6,component,mechanism,Magic-infused gear,🔮,,
void-gear,Void Gear,7,component,mechanism,Dimensional mechanism,🕳️,,
divine-gear,Divine Gear,8,component,mechanism,Godly mechanism,👑,,
gunpowder,Gunpowder,1,component,explosive,Basic explosive powder,💥,,
refined-gunpowder,Refined Gunpowder,2,component,explosive,Quality powder,💥,,
black-powder,Black Powder,3,component,explosive,Military grade,💣,,
flash-powder,Flash Powder,4,component,explosive,Bright explosive,✨,,
thunder-powder,Thunder Powder,5,component,explosive,Loud explosive,⚡,,
arcane-powder,Arcane Powder,6,component,explosive,Magic explosive,🔮,,
void-powder,Void Powder,7,component,explosive,Dark explosive,🕳️,,
divine-powder,Divine Powder,8,component,explosive,Holy explosive,👑,,
circuit,Circuit,3,component,electrical,Basic electrical component,📟,,
advanced-circuit,Advanced Circuit,4,component,electrical,Complex circuit,🔌,,
quantum-circuit,Quantum Circuit,6,component,electrical,Dimensional circuit,⚛️,,
lens,Lens,2,component,optical,Basic optical glass,🔍,,
precision-lens,Precision Lens,4,component,optical,Fine optical glass,🔭,,
arcane-lens,Arcane Lens,6,component,optical,Magic-infused lens,✨,,
spring,Spring,1,component,mechanism,Basic coiled metal,🌀,,
tempered-spring,Tempered Spring,3,component,mechanism,Quality spring,🔧,,
masterwork-spring,Masterwork Spring,5,component,mechanism,Perfect spring,⚙️,,
flintlock-pistol,Flintlock Pistol,1,weapon,gun-pistol,Basic single-shot pistol,🔫,,
iron-pistol,Iron Pistol,2,weapon,gun-pistol,Reliable handgun,🔫,,
steel-revolver,Steel Revolver,3,weapon,gun-pistol,Six-shot revolver,🔫,,
repeater-pistol,Repeater Pistol,4,weapon,gun-pistol,Semi-auto pistol,🔫,,
clockwork-pistol,Clockwork Pistol,5,weapon,gun-pistol,Mechanical marvel pistol,🔫,,
arcane-pistol,Arcane Pistol,6,weapon,gun-pistol,Magic-enhanced pistol,🔫,,
void-pistol,Void Pistol,7,weapon,gun-pistol,Dimension-shifting pistol,🔫,,
divine-pistol,Divine Pistol,8,weapon,gun-pistol,Holy handcannon,🔫,,
flintlock-rifle,Flintlock Rifle,1,weapon,gun-rifle,Basic long gun,🎯,,
iron-rifle,Iron Rifle,2,weapon,gun-rifle,Sturdy rifle,🎯,,
steel-rifle,Steel Rifle,3,weapon,gun-rifle,Military rifle,🎯,,
repeater-rifle,Repeater Rifle,4,weapon,gun-rifle,Lever-action rifle,🎯,,
clockwork-rifle,Clockwork Rifle,5,weapon,gun-rifle,Automatic rifle,🎯,,
arcane-rifle,Arcane Rifle,6,weapon,gun-rifle,Magic-enhanced rifle,🎯,,
void-rifle,Void Rifle,7,weapon,gun-rifle,Reality-bending rifle,🎯,,
divine-rifle,Divine Rifle,8,weapon,gun-rifle,Holy long rifle,🎯,,
blunderbuss,Blunderbuss,1,weapon,gun-shotgun,Spread shot firearm,💥,,
iron-shotgun,Iron Shotgun,2,weapon,gun-shotgun,Double-barrel shotgun,💥,,
steel-shotgun,Steel Shotgun,3,weapon,gun-shotgun,Pump shotgun,💥,,
repeater-shotgun,Repeater Shotgun,4,weapon,gun-shotgun,Semi-auto shotgun,💥,,
clockwork-shotgun,Clockwork Shotgun,5,weapon,gun-shotgun,Auto-loading shotgun,💥,,
arcane-shotgun,Arcane Shotgun,6,weapon,gun-shotgun,Elemental shotgun,💥,,
void-shotgun,Void Shotgun,7,weapon,gun-shotgun,Dimension-rending shotgun,💥,,
divine-shotgun,Divine Shotgun,8,weapon,gun-shotgun,Holy scattergun,💥,,
hand-cannon,Hand Cannon,3,weapon,gun-heavy,Portable artillery,💣,,
rocket-launcher,Rocket Launcher,5,weapon,gun-heavy,Explosive launcher,🚀,,
gatling-gun,Gatling Gun,6,weapon,gun-heavy,Rapid fire cannon,⚙️,,
plasma-cannon,Plasma Cannon,7,weapon,gun-heavy,Energy weapon,⚡,,
divine-cannon,Divine Cannon,8,weapon,gun-heavy,Holy artillery,👑,,
