ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
pine-log,Pine Log,1,wood,raw,Common softwood,🪵,,
oak-log,Oak Log,2,wood,raw,Sturdy hardwood,🌳,,
maple-log,Maple Log,3,wood,raw,Flexible quality wood,🍁,,
ash-log,Ash Log,4,wood,raw,Strong and resilient,🌲,,
ironwood-log,Ironwood Log,5,wood,raw,Hardwood with metal properties,🪓,,
ebony-log,Ebony Log,6,wood,raw,Dark legendary timber,🖤,,
wyrmwood-log,Wyrmwood Log,7,wood,raw,Dragon-touched lumber,🐉,,
worldtree-log,Worldtree Log,8,wood,raw,Sacred wood from Yggdrasil,🌍,,
pine-plank,Pine Plank,1,component,wood,Processed pine wood,📏,,
oak-plank,Oak Plank,2,component,wood,Sturdy oak boards,🪵,,
maple-plank,Maple Plank,3,component,wood,Quality maple boards,🍂,,
ash-plank,Ash Plank,4,component,wood,Resilient ash boards,🌿,,
ironwood-plank,Ironwood Plank,5,component,wood,Metal-hard planks,🔨,,
ebony-plank,Ebony Plank,6,component,wood,Dark legendary planks,⬛,,
wyrmwood-plank,Wyrmwood Plank,7,component,wood,Dragon-touched planks,🔥,,
worldtree-plank,Worldtree Plank,8,component,wood,Sacred world planks,🌟,,
rawhide,Rawhide,1,leather,raw,Untanned animal hide,🦴,,
thick-hide,Thick Hide,2,leather,raw,Sturdy animal hide,🐂,,
rugged-leather,Rugged Leather,3,leather,processed,Tanned quality hide,🧥,,
hardened-leather,Hardened Leather,4,leather,processed,Reinforced leather,🛡️,,
wyrm-leather,Wyrm Leather,5,leather,processed,Dragon scale leather,🐲,,
infernal-leather,Infernal Leather,6,leather,processed,Demon hide leather,😈,,
titan-leather,Titan Leather,7,leather,processed,Giant skin leather,🦣,,
divine-leather,Divine Leather,8,leather,processed,Godly leather,👼,,
string,String,1,component,fiber,Plant fiber string,🧶,,
bowstring,Bowstring,2,component,fiber,Reinforced string,🎯,,
silk-string,Silk String,4,component,fiber,Spider silk string,🕸️,,
dragon-sinew,Dragon Sinew,6,component,fiber,Wyrm tendon,🐉,,
feathers,Feathers,1,component,fletching,Bird feathers,🪶,,
hawk-feathers,Hawk Feathers,3,component,fletching,Raptor feathers,🦅,,
phoenix-feathers,Phoenix Feathers,6,component,fletching,Fire bird feathers,🔥,,
wooden-bow,Wooden Bow,0,weapon,bow,Basic shortbow,🏹,,
pine-bow,Pine Shortbow,1,weapon,bow,Starter bow,🏹,,
oak-bow,Oak Shortbow,2,weapon,bow,Sturdy bow,🏹,,
maple-bow,Maple Longbow,3,weapon,bow,Quality longbow,🏹,,
ash-bow,Ash Longbow,4,weapon,bow,Resilient bow,🏹,,
ironwood-bow,Ironwood Recurve,5,weapon,bow,Metal-hard bow,🏹,,
ebony-bow,Ebony War Bow,6,weapon,bow,Legendary bow,🏹,,
wyrmwood-bow,Wyrmwood Bow,7,weapon,bow,Dragon bow,🏹,,
worldtree-bow,Worldtree Bow,8,weapon,bow,Divine bow,🏹,,
pine-crossbow,Pine Crossbow,1,weapon,crossbow,Basic crossbow,🎯,,
oak-crossbow,Oak Crossbow,2,weapon,crossbow,Sturdy crossbow,🎯,,
maple-crossbow,Maple Crossbow,3,weapon,crossbow,Quality crossbow,🎯,,
ash-crossbow,Ash Crossbow,4,weapon,crossbow,Resilient crossbow,🎯,,
ironwood-crossbow,Ironwood Crossbow,5,weapon,crossbow,Heavy crossbow,🎯,,
ebony-crossbow,Ebony Arbalest,6,weapon,crossbow,Legendary crossbow,🎯,,
wyrmwood-crossbow,Wyrmwood Crossbow,7,weapon,crossbow,Dragon crossbow,🎯,,
worldtree-crossbow,Worldtree Crossbow,8,weapon,crossbow,Divine crossbow,🎯,,
wooden-staff,Wooden Staff,0,weapon,staff,Basic quarterstaff,🪄,,
pine-staff,Pine Staff,1,weapon,staff,Light staff,🪄,,
oak-staff,Oak Staff,2,weapon,staff,Sturdy staff,🪄,,
maple-staff,Maple Staff,3,weapon,staff,Flexible staff,🪄,,
ash-staff,Ash Staff,4,weapon,staff,Resilient staff,🪄,,
ironwood-staff,Ironwood Staff,5,weapon,staff,Heavy staff,🪄,,
ebony-staff,Ebony Staff,6,weapon,staff,Dark staff,🪄,,
wyrmwood-staff,Wyrmwood Staff,7,weapon,staff,Dragon staff,🪄,,
worldtree-staff,Worldtree Staff,8,weapon,staff,Divine staff,🪄,,
wooden-spear,Wooden Spear,0,weapon,spear,Basic pointed stick,🔱,,
pine-spear,Pine Spear,1,weapon,spear,Light spear,🔱,,
oak-spear,Oak Spear,2,weapon,spear,Sturdy spear,🔱,,
maple-spear,Maple Spear,3,weapon,spear,Quality spear,🔱,,
ash-spear,Ash Spear,4,weapon,spear,Resilient spear,🔱,,
ironwood-spear,Ironwood Spear,5,weapon,spear,Heavy spear,🔱,,
ebony-spear,Ebony Spear,6,weapon,spear,Dark spear,🔱,,
wyrmwood-spear,Wyrmwood Spear,7,weapon,spear,Dragon spear,🔱,,
worldtree-spear,Worldtree Spear,8,weapon,spear,Divine spear,🔱,,
wooden-arrow,Wooden Arrow,0,ammo,arrow,Basic arrow x20,🏹,,
iron-arrow,Iron Arrow,2,ammo,arrow,Standard arrow x20,🏹,,
steel-arrow,Steel Arrow,3,ammo,arrow,Quality arrow x20,🏹,,
mithril-arrow,Mithril Arrow,4,ammo,arrow,Light arrow x20,🏹,,
fire-arrow,Fire Arrow,3,ammo,arrow-elemental,Burning arrow x10,🔥,,
ice-arrow,Ice Arrow,3,ammo,arrow-elemental,Freezing arrow x10,❄️,,
poison-arrow,Poison Arrow,4,ammo,arrow-elemental,Toxic arrow x10,☠️,,
explosive-arrow,Explosive Arrow,5,ammo,arrow-elemental,Detonating arrow x5,💥,,
divine-arrow,Divine Arrow,8,ammo,arrow,Holy arrow x20,✨,,
leather-cap,Leather Cap,1,armor,leather-helm,Basic head cover,🧢,,
thick-cap,Thick Leather Cap,2,armor,leather-helm,Sturdy cap,🧢,,
rugged-helm,Rugged Helm,3,armor,leather-helm,Quality helm,🧢,,
hardened-helm,Hardened Helm,4,armor,leather-helm,Reinforced helm,🧢,,
wyrm-helm,Wyrm Scale Helm,5,armor,leather-helm,Dragon helm,🧢,,
infernal-helm,Infernal Helm,6,armor,leather-helm,Demon helm,🧢,,
titan-helm,Titan Helm,7,armor,leather-helm,Giant helm,🧢,,
divine-leather-helm,Divine Leather Helm,8,armor,leather-helm,Holy helm,🧢,,
leather-vest,Leather Vest,1,armor,leather-chest,Basic chest armor,🦺,,
thick-vest,Thick Leather Vest,2,armor,leather-chest,Sturdy vest,🦺,,
rugged-chest,Rugged Chest Armor,3,armor,leather-chest,Quality chest,🦺,,
hardened-chest,Hardened Chest,4,armor,leather-chest,Reinforced chest,🦺,,
wyrm-chest,Wyrm Scale Chest,5,armor,leather-chest,Dragon chest,🦺,,
infernal-chest,Infernal Chest,6,armor,leather-chest,Demon chest,🦺,,
titan-chest,Titan Chest,7,armor,leather-chest,Giant chest,🦺,,
divine-leather-chest,Divine Leather Chest,8,armor,leather-chest,Holy chest,🦺,,
leather-gloves,Leather Gloves,1,armor,leather-gloves,Basic gloves,🧤,,
thick-gloves,Thick Leather Gloves,2,armor,leather-gloves,Sturdy gloves,🧤,,
