ID,Name,Tier,Category,SubCategory,Description,Icon,UnlockNode,DropSource
stone,Stone,0,ore,basic,Common rock,🪨,,
copper-ore,Copper Ore,1,ore,metal,Basic ore for beginner smithing,🪨,,
iron-ore,Iron Ore,2,ore,metal,Common ore for reliable weapons,⛏️,,
steel-ore,Steel Ore,3,ore,metal,Refined ore for quality gear,🔩,,
mithril-ore,Mithril Ore,4,ore,metal,Rare lightweight metal,✨,,
adamantine-ore,Adamantine Ore,5,ore,metal,Nearly indestructible ore,💎,,
orichalcum-ore,Orichalcum Ore,6,ore,metal,Legendary mythical metal,🌟,,
starmetal-ore,Starmetal Ore,7,ore,metal,Fallen from the heavens,☄️,,
divine-ore,Divine Ore,8,ore,metal,Ore blessed by the gods,👑,,
copper-ingot,Copper Ingot,1,component,metal,Smelted copper bar,🟫,,
iron-ingot,Iron Ingot,2,component,metal,Smelted iron bar,⬛,,
steel-ingot,Steel Ingot,3,component,metal,Refined steel bar,⬜,,
mithril-ingot,Mithril Ingot,4,component,metal,Lightweight mithril bar,🔵,,
adamantine-ingot,Adamantine Ingot,5,component,metal,Indestructible bar,🟣,,
orichalcum-ingot,Orichalcum Ingot,6,component,metal,Mythical metal bar,🟡,,
starmetal-ingot,Starmetal Ingot,7,component,metal,Celestial metal bar,⭐,,
divine-ingot,Divine Ingot,8,component,metal,Godly metal bar,👑,,
rough-gem,Rough Gem,1,gem,uncut,Uncut common stone,💠,,
flawed-gem,Flawed Gem,2,gem,uncut,Imperfect gemstone,🔷,,
standard-gem,Standard Gem,3,gem,cut,Common quality gem,🔶,,
fine-gem,Fine Gem,4,gem,cut,Quality gemstone,💎,,
pristine-gem,Pristine Gem,5,gem,cut,Near-perfect gem,♦️,,
flawless-gem,Flawless Gem,6,gem,cut,Perfect gemstone,🌟,,
radiant-gem,Radiant Gem,7,gem,cut,Glowing magical gem,✨,,
divine-gem,Divine Gem,8,gem,cut,Godly gemstone,👑,,
ruby,Ruby,3,gem,elemental,Fire gem,🔴,Gem Cutter,
sapphire,Sapphire,3,gem,elemental,Water gem,🔵,Gem Cutter,
emerald,Emerald,3,gem,elemental,Nature gem,🟢,Gem Cutter,
topaz,Topaz,3,gem,elemental,Lightning gem,🟡,Gem Cutter,
diamond,Diamond,5,gem,rare,Pure crystal gem,💎,Master Cutter,
black-diamond,Black Diamond,7,gem,rare,Void-touched diamond,⚫,Master Cutter,
divine-crystal,Divine Crystal,8,gem,legendary,Godly gem,✨,Divine Smith,
coal,Coal,1,component,fuel,Fuel for smelting,⚫,,
refined-coal,Refined Coal,2,component,fuel,Quality fuel,🔥,,
flux,Flux,1,component,additive,Smelting additive,🧪,,
refined-flux,Refined Flux,3,component,additive,Quality flux,⚗️,,
stone-pickaxe,Stone Pickaxe,0,weapon,pickaxe,Basic mining tool,⛏️,,
copper-pickaxe,Copper Pickaxe,1,weapon,pickaxe,Starter pickaxe,⛏️,,
iron-pickaxe,Iron Pickaxe,2,weapon,pickaxe,Reliable pickaxe,⛏️,,
steel-pickaxe,Steel Pickaxe,3,weapon,pickaxe,Quality pickaxe,⛏️,,
mithril-pickaxe,Mithril Pickaxe,4,weapon,pickaxe,Lightweight pickaxe,⛏️,,
adamantine-pickaxe,Adamantine Pickaxe,5,weapon,pickaxe,Unbreaking pickaxe,⛏️,,
orichalcum-pickaxe,Orichalcum Pickaxe,6,weapon,pickaxe,Legendary pickaxe,⛏️,,
starmetal-pickaxe,Starmetal Pickaxe,7,weapon,pickaxe,Celestial pickaxe,⛏️,,
divine-pickaxe,Divine Pickaxe,8,weapon,pickaxe,Godly pickaxe,⛏️,,
copper-sword,Copper Sword,1,weapon,sword-1h,Basic one-hand sword,⚔️,,
iron-sword,Iron Sword,2,weapon,sword-1h,Reliable sword,⚔️,,
steel-sword,Steel Sword,3,weapon,sword-1h,Quality sword,⚔️,,
mithril-sword,Mithril Sword,4,weapon,sword-1h,Light sword,⚔️,,
adamantine-sword,Adamantine Sword,5,weapon,sword-1h,Unbreaking sword,⚔️,,
orichalcum-sword,Orichalcum Sword,6,weapon,sword-1h,Legendary sword,⚔️,,
starmetal-sword,Starmetal Sword,7,weapon,sword-1h,Celestial sword,⚔️,,
divine-sword,Divine Sword,8,weapon,sword-1h,Godly sword,⚔️,,
copper-greatsword,Copper Greatsword,1,weapon,sword-2h,Basic two-hand sword,🗡️,,
iron-greatsword,Iron Greatsword,2,weapon,sword-2h,Heavy greatsword,🗡️,,
steel-greatsword,Steel Greatsword,3,weapon,sword-2h,Quality greatsword,🗡️,,
mithril-greatsword,Mithril Greatsword,4,weapon,sword-2h,Light greatsword,🗡️,,
adamantine-greatsword,Adamantine Greatsword,5,weapon,sword-2h,Unbreaking blade,🗡️,,
